entity_id,review_decision,reviewer,reviewed_at,decision_note,session_id,within_session_order,entity_type,display_name,queue_status,review_status,review_batch,review_bucket,source_refs,cleaned_paths,parsed_paths,top_extract_ids,decision_instructions
datasource_rpki_roa,,,,,review_session_011,1,DataSource,RPKI / ROA,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc6811|routeviews_api_doc|context_2026,cleaned/data_docs/routeviews_api_doc.md|cleaned/standards/rfc6811.md,parsed/data_docs/routeviews_api_doc.json|parsed/standards/rfc6811.json,extract_datasource_rpki_roa_01|extract_datasource_rpki_roa_02|extract_datasource_rpki_roa_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
fp_short_route_flap,,,,,review_session_011,2,FalsePositivePattern,Short route flap,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|context_2026,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_fp_short_route_flap_01|extract_fp_short_route_flap_02|extract_fp_short_route_flap_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
fp_single_collector_bias,,,,,review_session_011,3,FalsePositivePattern,Single collector bias,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,routeviews_api_doc|ripe_ris_docs|context_2026,cleaned/data_docs/ripe_ris_docs.md|cleaned/data_docs/routeviews_api_doc.md,parsed/data_docs/ripe_ris_docs.json|parsed/data_docs/routeviews_api_doc.json,extract_fp_single_collector_bias_01|extract_fp_single_collector_bias_02|extract_fp_single_collector_bias_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
anomaly_subprefix_hijack,,,,,review_session_011,4,AnomalyType,Subprefix Hijack,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc6811|bear_2025|context_2026,cleaned/papers/bear_2025.md|cleaned/standards/rfc6811.md,parsed/papers/bear_2025.json|parsed/standards/rfc6811.json,extract_anomaly_subprefix_hijack_01|extract_anomaly_subprefix_hijack_02|extract_anomaly_subprefix_hijack_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_timestamp,,,,,review_session_011,5,DataField,timestamp,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,bgpstream_docs|context_2026,cleaned/data_docs/bgpstream_docs.md,parsed/data_docs/bgpstream_docs.json,extract_field_timestamp_01|extract_field_timestamp_02|extract_field_timestamp_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
field_update_type,,,,,review_session_011,6,DataField,update_type,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc4271|context_2026,cleaned/standards/rfc4271.md,parsed/standards/rfc4271.json,extract_field_update_type_01|extract_field_update_type_02|extract_field_update_type_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_valley_free,,,,,review_session_011,7,BGPConcept,Valley-free,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc7908|caida_as_relationships|context_2026,cleaned/data_docs/caida_as_relationships.md|cleaned/standards/rfc7908.md,parsed/data_docs/caida_as_relationships.json|parsed/standards/rfc7908.json,extract_concept_valley_free_01|extract_concept_valley_free_02|extract_concept_valley_free_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
mechanism_valley_free,,,,,review_session_011,8,RoutingMechanism,Valley-free Routing,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,rfc7908|caida_as_relationships|beam_2024|context_2026,cleaned/data_docs/caida_as_relationships.md|cleaned/papers/beam_2024.md|cleaned/standards/rfc7908.md,parsed/data_docs/caida_as_relationships.json|parsed/papers/beam_2024.json|parsed/standards/rfc7908.json,extract_mechanism_valley_free_01|extract_mechanism_valley_free_02|extract_mechanism_valley_free_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
concept_vantage_point,,,,,review_session_011,9,BGPConcept,Vantage Point,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,ripe_ris_docs|context_2026,cleaned/data_docs/ripe_ris_docs.md,parsed/data_docs/ripe_ris_docs.json,extract_concept_vantage_point_01|extract_concept_vantage_point_02|extract_concept_vantage_point_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
case_vodafone_2021_route_leak,,,,,review_session_011,10,Case,Vodafone Idea AS55410 Route Leak,ready_to_apply,approved,02_ready_with_manual_note,ready_with_manual_note,bgpshield_2025|context_2026,cleaned/papers/bgpshield_2025.md,parsed/papers/bgpshield_2025.json,extract_case_vodafone_2021_route_leak_01|extract_case_vodafone_2021_route_leak_02|extract_case_vodafone_2021_route_leak_03,该实体已有人工 approved/rejected 决策；再次确认后再显式应用。
